Title,Brand,Price,Rating,Ratings Count,Product Link,Product Image Link
Lenovo IdeaPad Slim 3 15IRH8 Laptop - 13th Intel Core i7-13620H 16 GB DDR5-4800 MHz 512 GB SSD Integrated Intel UHD Graphics 15.6" FHD (1920x1080) IPS 300nits Anti-glare Dos - Arctic Grey,Lenovo,EGP32799.00,3.2,7,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo2OTY3OTUwMDU0MzM3MDQyOjE3NTQ0MjQ1OTY6c3BfYXRmOjMwMDYyMDk5MjQ4NzQzMjo6MDo6&url=%2FLenovo-IdeaPad-Slim-15IRH8-Laptop%2Fdp%2FB0CWG78C3L%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2IAIQTQAY773T%26dib%3DeyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754424596%26rnid%3D21832872031%26s%3Delectronics%26sprefix%3Dlaptops%252Celectronics%252C123%26sr%3D1-1-spons%26xpid%3DxU2DCUvFseb8a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB,https://m.media-amazon.com/images/I/51VXgmHMm+L._AC_UL320_.jpg
Lenovo LOQ 15ARP9 Gaming Laptop - Ryzen 5 7235HS AI Chip: LA1 NVIDIA GeForce RTX 3050 6GB GDDR6 Graphics 12GB DDR5 RAM 512GB SSD 15.6" FHD (1920x1080) IPS 300nits 100% sRGB 144Hz G-SYNC Win 11,Lenovo,EGP36042.17,3.3,6,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo2OTY3OTUwMDU0MzM3MDQyOjE3NTQ0MjQ1OTY6c3BfYXRmOjMwMDYyMDk5MjQ5NDUzMjo6MDo6&url=%2FLenovo-LOQ-15ARP9-Gaming-Laptop%2Fdp%2FB0DKTPWJYD%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2IAIQTQAY773T%26dib%3DeyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754424596%26rnid%3D21832872031%26s%3Delectronics%26sprefix%3Dlaptops%252Celectronics%252C123%26sr%3D1-2-spons%26xpid%3DxU2DCUvFseb8a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB,https://m.media-amazon.com/images/I/71LY6Da1zUL._AC_UL320_.jpg
Dell Vostro 3520 Laptop - 12th Intel Core i5-1235U 10-Cores 8GB RAM 512GB SSD Intel UHD Graphics 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare FingerPrint Ubuntu - Carbon Black,Dell,EGP21999.00,3.2,nan,https://www.amazon.eg/-/en/sspa/click?ie=UTF8&spc=MTo2OTY3OTUwMDU0MzM3MDQyOjE3NTQ0MjQ1OTY6c3BfYXRmOjMwMDYyMDk5MjQ4OTgzMjo6MDo6&url=%2FDell-Vostro-3520-Laptop-FingerPrint%2Fdp%2FB0CQFCNBT4%2Fref%3Dsr_1_3_sspa%3Fcrid%3D2IAIQTQAY773T%26dib%3DeyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w%26dib_tag%3Dse%26keywords%3Dlaptops%26qid%3D1754424596%26rnid%3D21832872031%26s%3Delectronics%26sprefix%3Dlaptops%252Celectronics%252C123%26sr%3D1-3-spons%26xpid%3DxU2DCUvFseb8a%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1&sp_cr=DUB,https://m.media-amazon.com/images/I/71JPy7gSTyL._AC_UL320_.jpg
Lenovo IdeaPad Slim 3 83ER007YED Intel Core i5-12450H 8GB Ram 512 SSD Integrated Intel UHD GraphicsWin11 Arctic Grey 2 Years Warranty Free Laptop Bag,Lenovo,EGP23950.00,4.2,9,https://www.amazon.eg/-/en/Lenovo-83ER007YED-i5-12450H-Integrated-Graphics/dp/B0CP4885Q9/ref=sr_1_4?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-4&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/41ibmFwbd3L._AC_UL320_.jpg
Dell Inspiron 3520 Laptop - 12th Intel Core i3-1215U 6-Cores 8GB RAM 256GB SSD Intel UHD Graphics 15.6" FHD (1920 x 1080) 120Hz 250 nits Anti-Glare Windows 11 - Carbon Black,Dell,EGP15069.00,3.6,15,https://www.amazon.eg/-/en/Dell-Inspiron-3520-Laptop-Anti-Glare/dp/B0CR8NJXG6/ref=sr_1_5?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-5&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/71JoLOlxcpL._AC_UL320_.jpg
Dell Latitude 7400 Business Laptop Intel Core i7-8665u 3.2GHz 16GB RAM 256GB SSD 14" FHD (1920x1080) Backlit Keyboard Windows 10 Pro (Renewed),Dell,EGP20000.00,5.0,7,https://www.amazon.eg/-/en/Dell-Latitude-7400-Business-1920x1080/dp/B0CKSYYYQT/ref=sr_1_6?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-6&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/81ic5l79K2L._AC_UL320_.jpg
ASUS Vivobook S 14 Flip AMD Ryzen 7 7730U 8GB DDR4 on board AMD Radeon Graphics 15.6" (1920 x 1200) 16:10 IPS 300 Nits 512GB SSD Windows 11 (TN3402YA-LZ007W) 1 Year Perfect Warranty by ASUS,ASUS,EGP24298.22,4.1,4,https://www.amazon.eg/-/en/ASUS-Vivobook-Ryzen-Radeon-Graphics/dp/B0D26HJF5R/ref=sr_1_7?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-7&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/61oRwaq2eRL._AC_UL320_.jpg
Hp Victus Gaming Laptop 15-fa1082wm - 13th Intel Core i5-13420H NVIDIA GeForce RTX 4050 6GB GDDR6 Graphics 16GB RAM 512GB SSD 15.6" FHD (1920x1080) 144 Hz IPS Backlit Windows 11 - Mica Silver,Hp,EGP40400.00,4.6,103,https://www.amazon.eg/-/en/Victus-Gaming-Laptop-15-fa1082wm-i5-13420H/dp/B0DN5RWNNC/ref=sr_1_8?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-8&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/81obPsMhewL._AC_UL320_.jpg
Latitude E5450 14 Inch HD Business Laptop Core 5th Generation i5 i5-5200U 8GB DDR3L 500GB 7200RPM HDD Webcam Bluetooth Windows 10 Pro,nan,EGP10200.00,nan,nan,https://www.amazon.eg/-/en/Latitude-E5450-Business-Generation-Bluetooth/dp/B0FCMNQP1Z/ref=sr_1_9?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-9&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/41T7gEbJ18L._AC_UL320_.jpg
Dell Latitude 5490 14" Laptop Intel Core i7-8650U up to 4.20GHz 16GB DDR4 RAM 512GB SSD Webcam Windows 10Pro (Renewed),Dell,EGP18000.00,3.5,12,https://www.amazon.eg/-/en/Dell-Latitude-5490-i7-8650U-4-20GHz/dp/B0CNCLWYFZ/ref=sr_1_10?crid=2IAIQTQAY773T&dib=eyJ2IjoiMSJ9.NQ2InMkyDbIoa4RXk7IhrrInA7tmhMVcmawaGq-20Wy2LQwg3eSOuxbWB-6QToxN_JxEt-G3cn73_XYzWd5b7Xio4fQ_uwtvH81_grAcXutkPYydBemQhS_auYJoIkc0VTqh0yUj2bJ9bTa97u-sok-3clsdAl8AZ1uK2in_-yb9pVM3thinXxw135X-ZWgk7I_vw3yv-sKIatnqndEhS7CDDO_t2fJHH4Si-Tp1LPvC8qoRQnNy6w5BnBmGqy45qJcAj4yZ2NXqNDt_ODce17GToGd4WWC8ZhIL4FJy18A.HQf9F-SD8wSQjsyHqGVODEjNf083k-owlLi1PxXd9_w&dib_tag=se&keywords=laptops&qid=1754424596&rnid=21832872031&s=electronics&sprefix=laptops%2Celectronics%2C123&sr=1-10&xpid=xU2DCUvFseb8a,https://m.media-amazon.com/images/I/51Buar2a+AL._AC_UL320_.jpg
